10,0,0,0,0,0,0,0
55,10,0,0,0,0,0,0
89,43,0,0,0,0,0,0
159,69,0,0,0,0,0,0
220,115,0,0,0,0,0,0
280,178,0,0,0,0,0,0
362,238,0,0,0,0,0,0
455,295,0,0,5,0,0,0
531,372,0,0,12,5,0,0
615,418,0,0,22,12,0,0
729,428,0,0,24,12,0,0
792,459,0,0,24,12,0,0
857,497,0,0,24,12,0,0
949,548,0,0,24,12,0,0
1054,595,0,0,24,12,0,0
1108,678,0,0,24,12,0,0
1166,763,0,0,29,12,0,0
1193,858,0,0,36,29,0,0
1205,946,0,0,48,36,0,0
1221,1005,0,0,48,59,0,0
1274,1038,0,0,48,77,0,0
1318,1075,0,0,49,77,0,0
1366,1101,0,0,60,90,0,0
1421,1133,0,0,60,93,0,0
1451,1208,0,0,60,93,0,0
1470,1325,0,0,60,105,0,0
1519,1409,0,0,72,105,0,0
1580,1480,0,0,84,105,0,0
1628,1552,0,0,84,105,0,0
1704,1607,0,0,85,105,0,0
1760,1672,0,0,96,117,0,0
1826,1731,0,0,96,117,0,0
1885,1790,0,0,96,117,0,0
1937,1850,0,0,96,117,0,0
1971,1881,0,0,100,117,0,0
2019,1893,0,0,108,117,0,0
2048,1908,0,0,108,117,0,0
2090,1908,0,0,108,117,0,0
2125,1908,0,0,108,117,0,0
2155,1908,0,0,108,117,0,0
2190,1908,0,0,108,117,0,0
2222,1908,0,0,108,117,0,0
2242,1908,0,0,108,127,12,0
2254,1919,0,0,120,129,12,0
